county,year,rural_levy,urban_levy,county_avg_levy
Allen,2023,144.705,204.769,164.063
Allen,2024,142.848,204.141,162.286
Allen,2025,141.876,201.992,160.752
Anderson,2023,131.34,158.581,138.823
Anderson,2024,135.059,157.865,141.656
Anderson,2025,133.116,155.268,139.498
Atchison,2023,113.469,152.251,131.723
Atchison,2024,116.212,153.119,134.394
Atchison,2025,121.105,158.678,140.048
Barber,2023,153.542,197.229,161.383
Barber,2024,168.618,200.857,175.607
Barber,2025,139.631,184.289,147.72
Barton,2023,141.697,166.732,154.307
Barton,2024,139.299,162.306,150.971
Barton,2025,137.62,157.025,147.689
Bourbon,2023,154.06,187.07,168.611
Bourbon,2024,152.381,185.729,166.989
Bourbon,2025,149.323,180.609,163.033
Brown,2023,99.362,124.088,105.318
Brown,2024,100.955,118.641,105.669
Brown,2025,107.6,123.079,112.005
Butler,2023,123.844,154.566,139.231
Butler,2024,124.221,153.417,138.982
Butler,2025,123.566,152.563,138.304
Chase,2023,128.9,183.349,135.843
Chase,2024,131.227,183.066,137.804
Chase,2025,137.728,192.216,144.747
Chautauqua,2023,144.775,196.345,153.809
Chautauqua,2024,139.206,190.714,147.863
Chautauqua,2025,147.044,195.223,155.356
Cherokee,2023,91.966,141.817,110.723
Cherokee,2024,87.535,135.388,105.048
Cherokee,2025,93.298,142.552,111.212
Cheyenne,2023,130.67,165.695,138.683
Cheyenne,2024,134.382,162.279,141.427
Cheyenne,2025,134.0,160.274,141.328
Clark,2023,182.703,226.785,189.844
Clark,2024,188.978,232.117,196.396
Clark,2025,184.411,225.282,192.334
Clay,2023,133.474,168.154,143.417
Clay,2024,132.732,161.363,141.487
Clay,2025,138.249,165.751,146.877
Cloud,2023,150.704,187.103,162.5
Cloud,2024,152.994,187.079,164.656
Cloud,2025,153.349,188.97,166.019
Coffey,2023,92.719,130.29,95.082
Coffey,2024,92.698,124.758,94.931
Coffey,2025,91.564,122.532,93.873
Comanche,2023,202.384,278.829,217.592
Comanche,2024,209.555,278.87,224.514
Comanche,2025,218.686,287.564,235.108
Cowley,2023,139.163,170.483,154.574
Cowley,2024,133.024,161.12,147.157
Cowley,2025,130.662,155.774,143.554
Crawford,2023,108.662,148.323,134.927
Crawford,2024,107.108,146.684,133.333
Crawford,2025,109.223,151.132,137.014
Decatur,2023,153.809,193.12,160.645
Decatur,2024,167.975,203.908,174.837
Decatur,2025,160.88,193.712,167.527
Dickinson,2023,128.784,166.619,143.238
Dickinson,2024,129.747,163.126,142.745
Dickinson,2025,126.618,163.014,140.969
Doniphan,2023,109.077,138.127,115.864
Doniphan,2024,114.033,138.705,120.133
Doniphan,2025,117.381,141.159,123.534
Douglas,2023,119.282,131.158,128.64
Douglas,2024,115.484,127.146,124.74
Douglas,2025,115.386,127.213,124.764
Edwards,2023,152.003,210.888,162.166
Edwards,2024,158.534,215.429,169.069
Edwards,2025,164.619,216.898,174.857
Elk,2023,160.179,229.601,170.861
Elk,2024,161.252,227.499,172.083
Elk,2025,176.168,239.999,187.029
Ellis,2023,97.123,119.768,111.51
Ellis,2024,97.937,118.577,111.081
Ellis,2025,101.864,121.159,114.391
Ellsworth,2023,118.383,178.857,132.974
Ellsworth,2024,120.734,184.996,136.693
Ellsworth,2025,119.805,179.635,135.374
Finney,2023,124.447,157.772,142.071
Finney,2024,131.164,164.328,149.735
Finney,2025,131.305,165.027,150.542
Ford,2023,158.462,172.525,166.678
Ford,2024,155.087,159.606,157.857
Ford,2025,149.595,156.909,154.319
Franklin,2023,116.979,158.722,137.589
Franklin,2024,113.252,154.246,133.469
Franklin,2025,111.946,152.867,132.513
Geary,2023,110.739,147.828,138.836
Geary,2024,107.02,141.617,133.368
Geary,2025,110.015,141.196,133.789
Gove,2023,143.991,197.176,152.308
Gove,2024,151.25,200.439,159.931
Gove,2025,153.764,199.743,162.28
Graham,2023,156.922,223.006,166.53
Graham,2024,155.071,214.556,164.441
Graham,2025,161.415,219.361,171.426
Grant,2023,111.79,149.581,119.951
Grant,2024,119.008,152.347,128.201
Grant,2025,119.396,152.872,129.147
Gray,2023,124.218,162.596,135.86
Gray,2024,124.429,158.951,135.681
Gray,2025,123.838,157.598,135.171
Greeley,2023,228.681,286.828,238.864
Greeley,2024,247.832,300.854,258.465
Greeley,2025,259.498,311.48,270.739
Greenwood,2023,158.505,213.637,169.346
Greenwood,2024,158.713,213.127,169.779
Greenwood,2025,161.489,215.792,172.634
Hamilton,2023,185.265,216.125,193.75
Hamilton,2024,190.303,218.872,199.042
Hamilton,2025,169.765,197.23,178.456
Harper,2023,140.375,206.691,158.367
Harper,2024,145.134,200.848,163.436
Harper,2025,129.319,186.613,146.868
Harvey,2023,124.268,172.529,155.528
Harvey,2024,126.043,170.323,155.427
Harvey,2025,127.438,172.585,157.419
Haskell,2023,131.574,184.358,138.37
Haskell,2024,141.102,188.552,148.515
Haskell,2025,157.707,202.807,166.006
Hodgeman,2023,172.448,202.115,176.976
Hodgeman,2024,182.459,206.199,186.729
Hodgeman,2025,180.341,208.201,185.437
Jackson,2023,129.732,176.016,141.337
Jackson,2024,129.021,171.921,140.084
Jackson,2025,126.49,169.378,137.507
Jefferson,2023,125.695,157.562,132.789
Jefferson,2024,124.052,155.229,131.124
Jefferson,2025,122.42,154.653,129.767
Jewell,2023,145.309,192.445,150.489
Jewell,2024,152.993,207.353,159.74
Jewell,2025,158.678,198.313,164.229
Johnson,2023,110.243,100.751,110.737
Johnson,2024,108.875,109.797,109.771
Johnson,2025,108.374,109.507,109.474
Kearny,2023,149.336,182.37,154.49
Kearny,2024,177.785,205.983,183.751
Kearny,2025,173.744,199.483,180.024
Kingman,2023,145.028,184.191,154.144
Kingman,2024,148.569,184.455,158.176
Kingman,2025,143.955,178.59,153.294
Kiowa,2023,139.277,201.216,147.17
Kiowa,2024,150.091,210.275,158.573
Kiowa,2025,146.27,205.409,153.85
Labette,2023,150.149,205.086,178.182
Labette,2024,150.589,205.011,178.76
Labette,2025,147.898,200.001,174.635
Lane,2023,162.08,241.903,172.293
Lane,2024,165.238,239.49,176.649
Lane,2025,168.923,232.163,179.677
Leavenworth,2023,110.385,126.272,119.863
Leavenworth,2024,113.193,127.778,121.948
Leavenworth,2025,113.649,129.217,123.059
Lincoln,2023,152.753,192.597,158.188
Lincoln,2024,148.929,181.928,153.837
Lincoln,2025,153.722,183.452,158.495
Linn,2023,97.215,151.26,104.339
Linn,2024,92.387,140.522,99.304
Linn,2025,87.582,130.285,94.059
Logan,2023,130.228,197.237,148.39
Logan,2024,137.195,202.881,156.414
Logan,2025,142.885,209.54,164.097
Lyon,2023,117.622,164.13,143.961
Lyon,2024,114.763,159.777,143.104
Lyon,2025,115.296,162.01,145.18
Marion,2023,141.713,195.432,156.377
Marion,2024,138.618,188.054,152.743
Marion,2025,134.758,182.465,148.799
Marshall,2023,113.135,166.093,126.85
Marshall,2024,115.244,166.337,129.157
Marshall,2025,117.788,167.82,132.614
McPherson,2023,108.974,140.3,122.221
McPherson,2024,110.3,140.01,123.268
McPherson,2025,112.503,140.109,124.662
Meade,2023,141.777,198.944,149.456
Meade,2024,149.773,200.918,157.583
Meade,2025,147.833,196.405,155.891
Miami,2023,96.416,128.363,101.87
Miami,2024,93.666,128.629,106.265
Miami,2025,92.811,128.393,105.698
Mitchell,2023,153.96,181.41,165.656
Mitchell,2024,155.965,177.973,165.899
Mitchell,2025,163.376,184.454,173.172
Montgomery,2023,142.157,184.759,158.176
Montgomery,2024,136.965,167.547,148.981
Montgomery,2025,133.517,164.279,145.728
Morris,2023,143.692,201.316,157.245
Morris,2024,139.253,193.087,152.212
Morris,2025,138.827,189.758,151.232
Morton,2023,147.37,214.517,158.499
Morton,2024,187.91,250.022,203.439
Morton,2025,189.329,249.31,203.963
Nemaha,2023,106.88,108.761,106.957
Nemaha,2024,108.799,109.539,108.832
Nemaha,2025,115.514,115.128,115.496
Neosho,2023,159.493,164.059,161.95
Neosho,2024,158.376,162.889,160.783
Neosho,2025,154.207,155.984,155.16
Ness,2023,141.96,201.227,152.124
Ness,2024,151.298,202.684,161.444
Ness,2025,156.093,206.389,167.502
Norton,2023,134.733,195.211,150.999
Norton,2024,139.265,195.474,155.394
Norton,2025,140.147,208.587,160.309
Osage,2023,133.296,167.827,144.095
Osage,2024,127.15,158.885,137.126
Osage,2025,123.364,155.388,133.499
Osborne,2023,147.68,211.308,163.492
Osborne,2024,149.699,209.891,165.483
Osborne,2025,160.614,215.207,176.954
Ottawa,2023,136.889,159.386,141.598
Ottawa,2024,150.712,171.409,155.258
Ottawa,2025,149.817,170.61,154.455
Pawnee,2023,157.778,188.661,166.816
