year,state,city,tax_rate_pct,tax_rate_rank,tax_bill,tax_bill_rank,median_home_value
2023,Colorado,Denver,0.539,49,3232.0,28,599500.0
2023,Kansas,Wichita,1.125,32,2112.0,48,187800.0
2023,Missouri,Kansas City,1.34,17,3207.0,29,239400.0
2023,Nebraska,Omaha,1.983,9,4835.0,14,243800.0
2023,Oklahoma,Oklahoma City,1.297,20,2948.0,34,227300.0
2024,Colorado,Denver,0.519,49,3253.0,30,626500.0
2024,Kansas,Wichita,1.107,31,2193.0,48,198100.0
2024,Missouri,Kansas City,1.369,15,3330.0,26,243200.0
2024,Nebraska,Omaha,1.78,9,4548.0,15,255500.0
2024,Oklahoma,Oklahoma City,1.313,17,3257.0,29,248100.0
2025,Colorado,Denver,0.485,51,3085.0,36,636400.0
2025,Kansas,Wichita,1.118,29,2381.0,46,212900.0
2025,Missouri,Kansas City,1.594,11,4169.0,23,261600.0
2025,Nebraska,Omaha,1.802,8,4857.0,17,269500.0
2025,Oklahoma,Oklahoma City,1.305,19,3383.0,30,259300.0
