county,year,valuation_change_pct,index_value
Reno,2013,2.2,100.0
Reno,2014,2.4,102.4
Reno,2015,1.5,103.93599999999999
Reno,2016,1.6,105.598976
Reno,2017,1.5,107.18296063999998
Reno,2018,1.6,108.89788801023998
Reno,2019,1.5,110.53135633039356
Reno,2020,2.5,113.29464023865339
Reno,2021,1.3,114.76747056175587
Reno,2022,8.9,124.98177544175213
Reno,2023,9.7,137.10500765960208
State Avg,2013,0.2,100.0
State Avg,2014,2.1,102.1
State Avg,2015,2.6,104.7546
State Avg,2016,2.9,107.79248339999998
State Avg,2017,3.8,111.88859776919999
State Avg,2018,4.4,116.81169607104479
State Avg,2019,4.3,121.83459900209971
State Avg,2020,4.2,126.9516521601879
State Avg,2021,4.4,132.53752485523617
State Avg,2022,10.9,146.98411506445692
State Avg,2023,12.0,164.62220887219175
