year,residential_billions,residential_pct,ci_real_pp_billions,ci_real_pp_pct,utilities_billions,utilities_pct,ag_land_billions,ag_land_pct,oil_gas_billions,oil_gas_pct,all_other_billions,all_other_pct,total_appraised_billions
1998,64.043,59.97,20.908,19.58,9.236,8.65,4.429,4.15,4.92,4.61,3.253,3.05,106.79
1999,69.342,61.4,22.853,20.23,9.545,8.45,4.505,3.99,3.337,2.96,3.344,2.96,112.926
2000,76.227,62.54,24.511,20.11,9.436,7.74,4.775,3.92,3.184,2.61,3.752,3.08,121.886
2001,82.5,62.79,25.607,19.49,9.513,7.24,5.178,3.94,4.646,3.54,3.954,3.01,131.398
2002,87.755,64.12,26.297,19.22,9.285,6.78,5.356,3.91,4.121,3.01,4.056,2.96,136.87
2003,94.098,65.33,27.39,19.01,9.57,6.64,5.21,3.62,3.658,2.54,4.119,2.86,144.045
2004,99.709,65.4,28.174,18.48,10.074,6.61,5.355,3.51,5.022,3.29,4.133,2.71,152.467
2005,106.146,65.47,29.619,18.27,10.23,6.31,5.312,3.28,6.452,3.98,4.365,2.69,162.123
2006,113.762,65.4,31.704,18.1,10.265,5.9,5.129,2.9,8.422,4.84,4.654,2.68,173.936
2007,121.369,66.72,33.681,18.51,9.527,5.24,4.735,2.6,7.705,4.24,4.905,2.7,181.921
2008,125.684,66.92,34.399,18.32,9.614,5.12,4.341,2.31,8.646,4.6,5.12,2.73,187.802
2009,126.226,68.06,32.751,17.66,9.475,5.11,3.992,2.15,8.212,4.43,4.814,2.6,185.47
2010,126.397,69.39,30.92,16.97,9.957,5.47,3.859,2.12,6.386,3.51,4.625,2.54,182.145
2011,127.307,69.07,31.006,16.83,10.157,5.51,3.935,2.13,7.35,3.99,4.553,2.47,184.308
2012,127.033,68.5,31.418,16.94,10.778,5.81,4.28,2.31,7.47,4.03,4.476,2.41,185.455
2013,128.517,62.59,31.832,15.5,11.18,5.45,4.825,2.35,7.091,3.45,4.43,2.36,187.873
2014,132.86,64.71,32.816,15.98,11.247,5.48,5.667,2.76,7.17,3.49,4.154,2.14,193.913
2015,137.786,67.11,33.951,16.54,12.943,6.3,6.579,3.2,3.398,1.66,4.134,2.08,198.791
2016,143.387,69.84,35.821,17.45,12.784,6.23,7.53,3.67,1.591,0.77,4.21,2.05,205.322
2017,151.297,70.18,36.9,17.12,12.672,5.88,8.516,3.95,2.233,1.04,3.96,1.84,215.578
2018,159.686,70.37,38.132,16.8,13.451,5.93,9.28,4.09,2.403,1.06,3.971,1.75,226.923
2019,168.319,70.72,39.153,16.45,14.303,6.01,9.693,4.07,2.428,1.02,4.119,1.73,238.016
2020,177.048,68.67,39.985,15.51,14.795,5.74,9.87,3.83,1.123,0.44,4.246,1.65,247.067
2021,186.533,72.34,40.113,15.56,15.616,6.06,9.828,3.81,1.424,0.55,4.329,1.68,257.843
2022,209.151,73.45,42.076,14.78,16.079,5.65,9.69,3.4,2.962,1.04,4.811,1.69,284.769
2023,236.487,74.56,44.776,14.12,18.077,5.7,9.163,2.89,3.334,1.05,5.338,1.68,317.175
2024,253.636,75.78,48.479,14.48,16.239,4.85,8.088,2.42,2.338,0.7,5.914,1.77,334.694
2025,271.427,75.44,50.523,14.04,19.939,5.54,9.512,2.64,2.174,0.6,6.217,1.73,359.792
