year,residential_millions,residential_pct,ci_real_pp_millions,ci_real_pp_pct,utilities_millions,utilities_pct,ag_land_millions,ag_land_pct,oil_gas_millions,oil_gas_pct,all_other_millions,all_other_pct,total_tax_millions
1998,798.961,40.59,594.922,30.23,267.176,13.57,134.835,6.86,103.552,5.26,65.103,3.31,1964.549
1999,878.324,41.63,653.373,30.97,284.341,13.48,144.15,6.83,76.32,3.62,69.079,3.28,2105.586
2000,982.067,42.53,713.499,30.9,289.787,12.55,156.938,6.8,83.015,3.6,78.475,3.41,2303.781
2001,1095.606,42.04,770.894,30.26,300.918,10.81,171.704,5.78,115.393,4.53,87.927,3.46,2542.442
2002,1175.185,44.23,799.238,30.08,299.439,11.27,184.307,6.94,105.025,3.95,88.167,3.33,2651.361
2003,1261.071,45.3,831.869,29.89,311.099,11.18,183.373,6.59,99.585,3.58,91.211,3.28,2778.207
2004,1355.269,45.64,865.551,29.14,329.988,11.08,189.635,6.39,131.039,4.41,92.064,3.11,2963.545
2005,1461.705,45.95,918.794,28.88,337.871,10.62,188.601,5.93,169.892,5.34,98.187,3.09,3175.05
2006,1576.312,46.03,985.89,28.78,341.681,9.98,184.285,5.38,225.778,6.59,104.429,3.05,3418.375
2007,1691.947,46.91,1052.047,29.17,354.843,9.84,174.575,4.84,215.461,5.97,111.162,3.09,3600.036
2008,1777.818,47.08,1088.499,28.83,368.074,9.75,164.388,4.35,252.716,6.69,118.419,3.14,3769.913
2009,1833.754,48.27,1063.446,27.99,375.638,9.88,156.729,4.13,246.82,6.5,116.44,3.07,3792.826
2010,1884.988,49.45,1030.188,27.03,404.81,10.62,154.958,4.07,215.971,5.67,115.43,3.03,3806.345
2011,1923.619,49.05,1047.609,26.71,416.623,11.17,159.857,4.08,248.797,6.34,119.498,3.05,3916.003
2012,1925.224,48.21,1068.117,26.75,442.327,11.69,174.267,4.36,258.883,6.48,119.233,2.99,3988.052
2013,1972.807,43.77,1095.151,24.3,463.075,10.28,198.362,4.4,254.203,5.64,122.145,2.71,4105.743
2014,2010.029,44.6,1111.499,24.66,463.697,10.29,229.145,5.08,256.315,5.69,101.125,2.24,4171.809
2015,2127.968,48.82,1173.915,26.93,544.765,12.5,273.084,6.26,133.423,3.06,105.886,2.43,4359.042
2016,2220.012,49.26,1238.69,27.49,550.666,12.22,320.651,7.11,68.619,1.52,108.128,2.4,4506.767
2017,2347.107,49.63,1279.145,27.05,543.204,11.49,358.24,7.58,93.559,1.98,107.971,2.28,4729.226
2018,2455.383,49.79,1315.283,26.67,571.253,11.58,382.775,7.76,98.924,2.01,107.828,2.19,4931.446
2019,2583.48,50.26,1347.793,26.22,603.949,11.75,394.458,7.67,99.077,1.93,111.215,2.16,5139.971
2020,2698.592,49.7,1370.241,25.24,622.727,11.47,404.374,7.45,47.549,0.88,111.384,2.05,5254.867
2021,2832.081,52.16,1370.901,25.25,654.212,12.05,400.705,7.38,59.746,1.1,112.222,2.07,5429.867
2022,3067.252,53.02,1411.604,24.4,665.196,11.5,390.122,6.74,118.02,2.04,125.887,2.18,5785.386
2023,3491.817,56.15,1440.598,23.17,659.147,10.6,352.887,5.67,126.651,2.04,147.712,2.38,6218.812
2024,3696.259,57.07,1544.303,23.85,676.543,10.45,307.396,4.75,96.791,1.49,155.045,2.39,6476.336
2025,3958.152,58.08,1606.355,23.57,722.627,10.6,281.232,4.13,85.63,1.26,161.145,2.36,6815.142
