"County","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013"
"Allen","12.5","10.9","2.3","0.5","1.4","0.6","1.0","1.0","-0.4","-0.6","0.5"
"Anderson","10.8","27.8","0.0","1.7","2.4","2.5","-0.8","0.9","-0.1","0.2","-0.5"
"Atchison","13.2","12.1","3.3","1.6","1.2","0.0","0.2","-0.1","-0.2","-0.3","-0.2"
"Barber","4.7","2.1","0.5","-0.6","2.1","2.0","-0.2","1.2","3.4","2.8","2.6"
"Barton","18.0","6.8","1.8","-0.6","0.8","1.2","1.2","2.3","3.6","4.3","2.7"
"Bourbon","4.9","5.5","3.9","1.9","1.2","1.0","1.9","2.6","-0.7","-1.1","-2.7"
"Brown","13.0","14.2","3.2","3.6","2.1","1.4","0.0","1.9","0.5","0.2","0.4"
"Butler","15.6","12.9","2.9","2.9","2.0","3.4","2.5","3.1","0.9","0.2","-0.7"
"Chase","9.8","4.7","2.2","0.2","1.7","0.3","3.1","0.3","2.4","3.1","0.8"
"Chautauqua","3.0","1.2","-0.1","-3.0","1.6","-0.6","-1.8","-1.5","5.1","1.2","0.9"
"Cherokee","20.7","10.9","3.8","2.4","3.7","0.7","0.7","-1.2","2.9","-0.5","-2.5"
"Cheyenne","19.7","15.3","7.6","6.3","5.1","4.3","3.3","1.3","2.5","0.2","1.3"
"Clark","7.4","5.2","-1.5","2.0","1.2","0.4","1.5","1.5","0.8","-0.4","2.4"
"Clay","4.8","14.3","0.3","0.6","0.4","0.2","0.2","0.1","0.1","0.3","0.2"
"Cloud","9.6","13.2","2.0","1.6","0.5","1.2","1.5","1.6","2.0","1.0","4.4"
"Coffey","5.0","5.5","1.2","1.2","1.9","0.5","1.0","0.7","0.6","1.2","-0.1"
"Comanche","4.5","4.6","0.9","0.3","1.2","1.5","4.0","1.4","1.6","-2.2","5.9"
"Cowley","14.5","13.8","2.0","-0.6","2.8","1.7","1.9","3.4","3.2","1.6","1.8"
"Crawford","5.4","8.8","2.0","2.6","0.5","0.3","-0.1","0.4","0.2","-0.3","-0.2"
"Decatur","15.6","5.8","2.0","0.0","-0.6","0.4","0.7","0.7","0.0","0.2","1.3"
"Dickinson","11.0","5.6","3.5","0.3","0.8","1.1","0.6","0.1","-0.6","0.7","-2.3"
"Doniphan","4.9","1.9","2.6","1.7","0.9","-0.4","-0.7","-0.8","-1.0","-0.4","0.8"
"Douglas","8.6","15.3","4.7","4.9","4.2","4.9","5.0","1.9","1.4","1.1","-1.6"
"Edwards","5.5","4.3","0.4","0.4","1.4","1.2","0.8","-1.1","2.7","0.8","0.3"
"Elk","6.2","8.7","-1.8","-1.7","0.9","0.9","-0.6","-0.8","3.7","3.6","0.9"
"Ellis","10.1","11.7","4.9","0.3","-0.3","-2.3","0.5","2.9","3.2","4.0","5.3"
"Ellsworth","7.4","8.6","2.5","0.3","1.0","1.0","1.6","4.3","3.5","6.5","6.6"
"Finney","12.2","12.3","3.9","3.3","4.8","1.9","2.8","4.6","3.4","4.5","1.6"
"Ford","6.6","5.1","2.0","2.5","2.2","2.0","2.1","1.7","1.9","2.0","2.9"
"Franklin","10.8","10.8","8.5","6.8","8.0","3.5","1.2","2.0","1.5","0.3","-1.9"
"Geary","10.1","13.0","2.4","-0.1","0.7","-0.9","-1.3","-0.1","0.2","1.1","-0.3"
"Gove","7.2","3.7","-0.1","9.8","8.4","13.6","2.2","1.8","0.4","0.9","1.8"
"Graham","6.4","6.7","0.2","0.6","0.9","1.2","1.1","1.3","1.3","1.7","1.4"
"Grant","5.3","5.5","0.9","0.4","0.7","0.4","1.2","0.2","2.3","2.6","2.2"
"Gray","8.4","10.0","5.8","3.7","2.9","1.7","5.4","-0.3","4.1","3.3","4.8"
"Greeley","2.8","5.8","4.3","0.8","2.9","2.2","1.9","3.3","1.1","3.1","2.0"
"Greenwood","7.2","4.6","0.1","0.4","0.0","-1.4","-1.0","-1.4","0.2","1.5","1.1"
"Hamilton","13.6","5.2","5.1","-2.8","2.7","3.4","2.5","3.0","1.6","2.2","0.7"
"Harper","11.1","9.0","1.6","-2.1","-3.4","-1.8","1.8","0.8","3.0","0.3","6.1"
"Harvey","7.3","7.2","2.4","1.3","3.0","0.4","0.5","1.5","1.7","1.0","1.2"
"Haskell","8.5","6.4","3.0","2.8","1.8","0.4","-0.1","2.2","2.3","2.1","3.0"
"Hodgeman","6.6","5.2","3.7","1.4","1.8","0.0","2.3","2.0","5.9","2.0","2.8"
"Jackson","10.1","7.1","2.6","4.0","3.5","0.9","2.4","-0.2","-1.2","-0.4","-0.1"
"Jefferson","15.6","14.7","5.2","3.2","4.9","4.3","1.9","2.1","1.2","0.4","-1.2"
"Jewell","11.1","9.7","4.4","3.9","0.7","1.5","3.3","-2.4","21.7","14.7","1.0"
"Johnson","12.5","11.5","4.7","5.1","6.1","7.0","6.3","4.9","5.2","4.1","0.5"
"Kearny","11.7","6.3","2.6","4.1","4.0","2.6","2.1","2.9","2.3","3.0","3.1"
"Kingman","11.0","4.6","2.6","2.8","2.9","-0.7","2.0","-0.3","0.3","1.9","3.4"
"Kiowa","2.6","1.0","-0.1","0.3","-0.6","-0.1","0.1","-0.4","0.8","1.0","-0.1"
"Labette","4.8","2.7","0.3","0.0","1.7","1.0","0.0","1.2","-0.1","0.4","0.8"
"Lane","9.5","2.4","1.6","0.2","2.1","17.0","3.0","2.0","1.4","2.3","1.3"
"Leavenworth","13.3","13.8","8.0","4.5","7.5","5.0","3.1","1.9","2.2","0.6","-1.1"
"Lincoln","14.9","15.1","2.6","1.0","0.3","-0.3","1.6","2.8","-0.5","1.0","0.2"
"Linn","17.7","22.6","9.6","7.4","2.7","3.6","2.4","0.0","-2.0","0.5","-0.6"
"Logan","7.7","10.8","0.6","0.5","5.7","3.9","1.6","1.7","3.9","4.3","3.9"
"Lyon","14.2","9.4","4.1","5.8","4.6","3.3","5.3","2.2","3.1","4.3","-1.5"
"Marion","9.1","6.4","2.1","0.3","1.0","0.6","0.3","0.5","-0.2","1.2","0.1"
"Marshall","9.0","6.5","2.0","2.2","2.5","1.9","5.9","2.9","0.5","1.0","0.7"
"McPherson","5.7","3.1","2.1","3.1","1.6","2.0","2.4","2.6","3.1","4.8","2.4"
"Meade","6.8","5.4","1.5","2.2","3.2","3.5","1.7","3.2","2.5","2.4","2.0"
"Miami","19.2","14.6","9.5","6.2","8.0","4.6","4.2","2.6","1.7","1.0","-1.5"
"Mitchell","20.2","5.5","-0.6","-1.5","0.5","2.5","0.7","3.7","6.5","2.1","2.3"
"Montgomery","12.7","11.0","2.2","-0.8","0.3","-1.5","-2.0","-0.2","-0.4","-0.2","-1.3"
"Morris","8.2","5.9","2.3","-0.6","3.9","-1.6","2.5","-1.3","-0.1","-0.3","1.6"
"Morton","5.1","0.6","0.1","0.3","-1.2","-0.7","-1.3","3.1","1.2","1.7","0.9"
"Nemaha","16.6","10.3","3.7","3.9","2.5","6.1","3.3","5.7","2.7","1.8","2.4"
"Neosho","9.1","4.1","0.2","0.1","1.1","-0.1","-0.7","-0.2","0.6","1.0","0.7"
"Ness","8.7","3.1","0.5","0.3","-0.1","1.1","1.1","2.5","5.7","18.1","11.6"
"Norton","3.6","3.0","3.4","2.5","2.6","2.4","2.8","1.9","2.2","2.3","2.3"
"Osage","8.6","15.7","3.2","5.7","2.5","1.8","5.0","0.8","-0.6","1.0","-1.4"
"Osborne","11.6","21.6","5.5","0.8","-0.3","-1.2","-7.1","5.8","12.1","11.2","1.1"
"Ottawa","13.6","10.5","1.8","1.9","2.0","1.0","1.3","1.1","0.3","0.9","0.6"
"Pawnee","18.3","7.3","-0.1","-0.2","-0.3","-1.8","-0.2","3.0","2.8","4.0","7.0"
"Phillips","9.7","5.4","1.8","3.2","3.8","3.7","2.1","2.6","2.1","2.4","2.0"
"Pottawatomie","10.5","8.5","1.5","0.4","1.4","3.0","2.5","2.4","2.7","1.5","0.2"
"Pratt","5.7","5.7","0.1","0.1","0.8","0.3","1.4","0.5","2.1","1.7","1.7"
"Rawlins","15.1","4.0","1.6","0.6","1.0","1.2","1.1","0.6","7.7","7.1","5.1"
"Reno","9.7","8.9","1.3","2.5","1.5","1.6","1.5","1.6","1.5","2.4","2.2"
"Republic","4.1","12.2","1.9","1.6","1.9","1.3","0.7","1.1","1.8","2.6","-1.0"
"Rice","12.4","16.1","3.8","1.9","1.5","1.8","2.0","2.7","1.2","3.1","0.7"
"Riley","11.8","6.5","0.4","0.2","-0.4","1.8","1.7","2.4","2.3","1.5","0.6"
"Rooks","24.7","13.2","3.2","0.2","1.4","1.7","5.0","0.2","6.1","3.9","3.5"
"Rush","9.0","4.4","1.2","0.1","0.3","-0.5","0.1","1.3","4.7","2.5","3.2"
"Russell","7.5","23.7","3.0","-0.6","1.2","0.3","0.1","1.8","2.3","3.1","3.1"
"Saline","7.1","11.0","3.1","0.7","4.3","1.7","2.5","2.2","1.2","0.9","-1.2"
"Scott","14.6","20.1","2.3","1.6","3.7","2.3","1.5","2.5","2.4","5.5","7.8"
"Sedgwick","10.8","7.8","4.9","5.4","3.8","3.8","2.9","2.3","0.4","1.0","-0.6"
"Seward","4.6","2.4","1.6","0.7","-0.1","-0.5","1.8","2.2","2.4","0.9","1.1"
"Shawnee","12.4","13.1","5.0","3.3","2.9","2.2","1.5","0.7","0.3","0.2","0.2"
"Sheridan","2.9","2.3","1.4","-0.3","4.6","9.5","0.8","0.4","1.6","21.4","3.3"
"Sherman","15.1","9.5","4.6","2.7","2.3","2.0","5.2","6.0","2.7","7.4","2.7"
"Smith","11.6","14.5","3.9","4.3","4.6","2.6","1.1","0.8","3.5","3.5","0.6"
"Stafford","11.1","9.6","2.6","0.5","0.4","0.9","2.9","1.4","2.8","5.2","9.4"
"Stanton","9.4","5.8","1.2","-0.3","0.5","-1.0","-1.3","-0.8","1.1","4.4","1.4"
"State Avg","12.0","10.9","4.4","4.2","4.3","4.4","3.8","2.9","2.6","2.1","0.2"
"Stevens","5.9","3.1","0.6","-0.2","0.9","-1.0","-0.7","2.5","3.3","3.9","2.7"
"Sumner","15.9","7.0","4.2","3.9","4.1","0.4","1.3","1.4","1.8","3.3","-0.4"
"Thomas","7.3","10.5","2.8","2.1","1.1","0.6","1.0","6.1","7.4","5.9","3.5"
"Trego","9.9","6.5","3.3","3.1","6.1","0.7","5.0","3.6","3.1","4.5","3.7"
"Wabaunsee","12.4","6.8","3.4","1.4","2.0","1.9","1.3","0.3","0.9","0.5","-0.9"
"Wallace","12.7","4.8","1.1","-0.8","0.5","0.0","3.5","8.7","3.4","6.5","1.8"
"Washington","9.6","7.1","1.8","9.5","4.2","-0.8","3.1","2.7","2.5","1.5","2.1"
"Wichita","3.3","11.0","3.3","0.6","3.3","5.3","0.5","2.6","2.3","3.5","0.9"
"Wilson","4.6","6.2","0.6","1.0","-0.5","-0.7","-0.4","-0.7","0.6","0.9","0.2"
"Woodson","8.0","7.9","3.1","1.6","2.1","2.2","1.1","0.5","0.5","1.0","1.0"
"Wyandotte","20.0","17.3","7.6","7.6","5.9","7.4","5.6","1.1","1.9","-0.9","-0.1"
